GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
100763359,Khk,0,0
100772925,Kmo,0,0
100760424,Kmt2a,1,0
100767367,Kmt2c,0,0
100756731,Kmt2e,0,0
100774411,Kmt5a,1,0
100754505,Kpna6,0,0
100769821,Kyat1,0,0
100771070,Kyat3,0,0
100771070,Kyat3,0,0
100768751,L2hgdh,0,0
100764709,L3hypdh,0,0
100758724,Lalba,0,0
100768932,Lap3,0,0
100765249,Large1,0,0
100750932,Large2,0,0
100764360,Lars1,1,1
100758963,Lars2,1,0
100751451,Lcat,0,0
100753881,Lclat1,0,0
100766856,Lct,0,0
100689064,Ldha,0,0
100770347,Ldhb,0,0
100769710,Ldhd,0,0
100762397,Lfng,0,0
100771604,Lhpp,0,0
100757956,Lias,1,0
100759060,Lipa,0,0
100756973,Lipc,0,0
100761374,Lipf,0,0
100766418,Lipg,0,0
100756678,Lipt2,1,0
100689337,LOC100689337,0,0
100750340,LOC100750340,0,0
100750437,LOC100750437,0,0
100750501,LOC100750501,0,0
100750508,LOC100750508,0,0
100750542,LOC100750542,0,0
100750542,LOC100750542,0,0
100750743,LOC100750743,0,0
100750743,LOC100750743,0,0
100750743,LOC100750743,0,0
100750822,LOC100750822,0,0
100750903,LOC100750903,0,0
100750926,LOC100750926,0,0
100750935,LOC100750935,0,0
100751196,LOC100751196,0,0
100751202,LOC100751202,0,0
100751227,LOC100751227,0,0
100751269,LOC100751269,0,0
100751280,LOC100751280,0,0
100751325,LOC100751325,0,0
100751331,LOC100751331,0,0
100751499,LOC100751499,1,0
100751584,LOC100751584,0,0
100751590,LOC100751590,0,0
100751624,LOC100751624,0,0
100751672,LOC100751672,0,0
100751684,LOC100751684,0,0
100751727,LOC100751727,0,0
100751755,LOC100751755,0,0
100751774,LOC100751774,0,0
100751798,LOC100751798,0,0
100751871,LOC100751871,0,0
100751894,LOC100751894,0,0
